Title,docking score
N#C[C@@H]1CN(C(=O)OCC(F)(F)F)CC[C@H]1n1cc(C(N)=O)c(Nc2ccc(F)cc2)n1,-6.625
CCOC(=O)c1c[nH]c2ncnc(-c3cccc(NC(=O)/C=C/CN(C)C)c3)c12,-7.994
CN(c1ncnc2[nH]ccc12)[C@@H]1CCN(C(=O)CN=[N+]=[N-])C1,-8.669
CCN1CCN(C(=O)NCC2CC(=O)N(Cc3ccccc3)C2)CC1=O,-7.724
CC1C(O)CC(O)C1O,-5.611
CN(C)C(=O)COCC(O)CO,-4.371
COC(=O)C(CO)CC(=O)O,-3.998
CCS(=O)(=O)N1CCN(c2ccc3cc2COCC=CCOCc2cccc(c2)-c2ccnc(n2)N3)CC1,-5.931
N#CCC1(n2cc(C(N)=O)c(Nc3ccccc3)n2)CCN(S(=O)(=O)C(F)(F)F)CC1,-7.389
CC(C)(C)OC(=O)N1CCC(CC#N)(n2cc(C(N)=O)c(Nc3cccc(-c4ccc(O)cc4)c3)n2)CC1,-7.11
Fc1ccccc1Cl,-5.716
CCNc1ccccc1C(=O)Nc1ccc2[nH]ncc2c1,-6.4
CN(c1ccccc1-c1ccc2cnc(Nc3ccc(C4CCN(CC(N)=O)CC4)cc3)nn12)S(C)(=O)=O,-5.898
CCOC(=O)C(C)NC(=O)c1ccccc1F,-6.93
O=C(O)CCOC(O)C(O)CO,-3.819
CC(C)S(=O)(=O)Nc1ccc(N(C)[C@@H]2CCN(c3ncnc4[nH]ccc34)C2)nc1,-8.008
CN(C(=O)N[C@H]1CCCN(S(C)(=O)=O)C1)c1cnc2[nH]ccc2n1,-8.532
NC(=O)C=Cc1c(F)cccc1F,-6.5
CS(=O)(=O)N1CC[C@H](Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,-9.216
COc1ccccc1CNCC(O)CNC(C)C,-4.873
CN(c1ncnc2[nH]ccc12)[C@@H]1CCN(S(=O)(=O)c2ccc(C(F)(F)F)cc2)C1,-7.633
CC1(CNC(=O)[C@@H]2CC[C@@H](n3cc(C(N)=O)c(Nc4ccc(Cl)cc4)n3)[C@H](C#N)C2)COC1,-6.425
O=C(CCCCCCC(=O)Nc1ccc(Nc2nc(-c3cnn(CCCCCOc4ccccc4)c3)c3cc[nH]c3n2)cc1)NO,-9.316
N#CCC1(n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)CCN(c2ccc(OC(F)F)cn2)CC1,-7.781
CN1CCN(c2ccc3c(c2)[nH]c2c(C(N)=O)cc(-c4ccccc4)cc23)CC1,-8.265
CN(C(=O)CC#N)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,-9.218
c1cc2c(ncn3nnc(C4CCCNC4)c23)[nH]1,-9.492
Cc1nc(N(C)[C@@H]2CCN(c3ncnc4[nH]ccc34)C2)ccc1C#N,-8.63
CN(C)CC1CCC(n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)[C@H](C#N)C1,-7.891
N#Cc1ccc(NC2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)cc1,-10.12
COc1ccccc1-c1cccn2nc(Nc3ccc(N4CCN(C)CC4)cc3)nc12,-9.716
CC(C)S(=O)(=O)c1ccc(-c2cccn3nc(Nc4cccc(N5CCN(C)CC5)c4)nc23)cc1,-9.389
CN[C@@H]1CCC(n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)[C@@H](C#N)C1,-8.763
COc1ccccc1NC(=O)NCC1CCOCO1,-5.456
CCN1CN([C@H]2CC[C@H](CNS(C)(=O)=O)CC2)c2c(cnc3[nH]ccc23)C1=O,-6.831
O=C(N[C@@H]1CCN(C[C@H]2CC[C@H](c3nnn4cnc5[nH]ccc5c34)CC2)C1)C(F)(F)F,-9.433
CCCn1cc(-c2cn3ncc(C(N)=O)c(N[C@H]4CN(c5ncc(C#N)cn5)C[C@H]4C)c3n2)cn1,-8.491
NCCn1c(-c2ccccc2)nc2cc(C(N)=O)ccc21,-8.168
CCCN(CCCN(C)CC)CC(O)CO,-1.356
Oc1ccc2nc3cnc4ccc(-c5ccc(F)c(F)c5)cc4c3nc2c1,-6.498
NC(=O)C(O)CC(O)CO,-4.272
CN(C(=O)C1(C#N)CC1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,-8.93
CC(=O)NCC(NC(=O)NCc1ccccc1)C(=O)O,-3.692
Cn1nc(C2CCCCC2)c2c3cc[nH]c3ncc21,-9.549
COc1ccc(cc1)NC(=O)C(=O)c1ccccc1,-5.709
CC(C)NC(=O)N1CCC(CC#N)(n2cc(C(N)=O)c(Nc3ccccc3)n2)CC1,-7.918
N#C[C@@H]1C[C@H](C(=O)N2CC3(COC3)C2)CC[C@H]1n1cc(C(N)=O)c(Nc2ccc(Cl)cc2)n1,-6.373
CN(C(=O)Nc1ccc(C#N)cc1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,-8.015
N#C[C@H]1CCOC[C@@H]1n1cc(C(N)=O)c(Nc2cc(F)c3nccc(Cl)c3c2)n1,-7.436
CC(=O)Nc1ccc(-c2nc(Nc3ccc(N4CCOCC4)cc3)ncc2C(F)(F)F)cc1,-8.967
NC(=O)CCNC(=O)OCC(F)(F)F,-4.627
CC1(C)CCN(C1)C(=O)COc1ccccc1,-5.724
COc1cc(Nc2nn([C@H]3COCC[C@@H]3C#N)cc2C(N)=O)ccc1C#N,-8.236
NC1CC1,-4.307
O=C(O)CNC(=O)C=Cc1ccccc1OCCO,-4.659
CCCC(=O)Nc1cc(Nc2ccccc2S(C)(=O)=O)c(C(=O)NC)cn1,-7.762
NC(=O)c1cc(Nc2ccccc2)ccn1,-6.502
CNc1ncc2cc(-c3cc(C(=O)Nc4ccc(Cl)c(C(F)(F)F)c4C)ccc3C)ccc2n1,-5.984
CN(c1ncnc2[nH]ccc12)[C@H]1CC[C@H](CS(=O)(=O)N2CCN(c3ncccc3C(=O)NC3CC3)CC2)CC1,-5.594
CC(=O)C(C)=CC(O)CO,-5.15
O=C(O)CCCCCNC(=O)C(=O)O,-1.685
O=c1[nH]c2cnc(-n3cnc4ccccc43)nc2n1[C@H]1CCOc2c(F)cccc21,-6.287
CN1CCN(CC1)C(=O)N1CC(CC(=S)Oc2ccccc2)CN1C,-5.827
O=C(O)CCC(=O)NCC(F)(F)F,-4.98
NC(=O)CN1CCC(c2ccc(Nc3ncc4ccc(-c5cnccn5)n4n3)cc2)CC1,-9.319
O=C1NCCNc2ccccc21,-8.076
O=C(NCS(=O)(=O)c1ccccc1)[C@H]1CC[C@H](c2nnn3cnc4[nH]ccc4c23)CC1,-8.786
C#CCOC(=O)CCC(=O)C(O)CCO,-0.188
Cc1ccc(F)cc1NC(=O)N1CC(CC#N)(n2cc(C(N)=O)c(Nc3ccccc3)n2)C1,-7.631
O=C(O)CCOCCO,-2.574
CS(=O)(=O)c1ccc(-c2cccn3nc(Nc4ccc(OCCN5CCCC5)cc4)nc23)cc1,-7.114
CC1C=CC(=O)C=1,-6.406
O=C(NCc1ccccc1O)Nc1ccccc1,-6.535
CN1CCN(c2cncc(Nc3nc4c(-c5ccc(S(C)(=O)=O)cc5)cccn4n3)n2)CC1,-9.698
CC1(C)CN([C@@H]2CC[C@H](n3cc(C(N)=O)c(Nc4ccc([C@H](O)C(F)(F)F)cc4)n3)[C@@H](C#N)C2)C1,-9.276
N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCSCC4)cc3)n2)cc1,-9.159
CN(C)C(=O)c1cnc(Nc2ccc(F)cn2)cc1Nc1ccccc1C(N)=O,-7.028
N#CCC1(n2cc(C(N)=O)c(Nc3ccccc3)n2)CCN(C(=O)OC2CCOCC2)CC1,-5.761
O=C(CCCO)NCC(=O)N1CCC(CO)C1,-3.163
NC(=O)CC(NC(=O)OCCF)C(=O)O,-4.984
NC(=O)COC(=O)C(O)CO,-4.993
COCCc1c[nH]c2ncnc(-c3ccc4c(c3)N(C#N)CC(F)(F)O4)c12,-9.25
NC(=O)C1CCCN(c2cc(-c3c(N)nn4cccnc34)ncn2)C1,-9.785
CC(C)(C)OC(=O)N1CCC(CC#N)(n2cc(C(N)=O)c(Nc3cc(Cl)nc(Cl)c3)n2)CC1,-6.441
N#C[C@H]1CCOC[C@@H]1n1cc(C(N)=O)c(Nc2ccc(Cl)c(F)c2)n1,-8.2
N#CCC(=O)N1CCCC(Cn2nc(Br)c3c(N)ncnc32)C1,-8.123
NC(=O)CC(O)C(F)(F)F,-5.826
CN1CCN(c2ccc(Nc3nc4c(NCc5cccc(S(C)(=O)=O)c5)cccn4n3)cc2)CC1,-9.436
CC(C)(C)OC(=O)C1CC[C@@H](C#N)C(n2cc(C(N)=O)c(Nc3ccccc3)n2)C1,-6.021
CN(C)[C@@H]1CCN(C[C@H]2CC[C@H](c3nnn4cnc5[nH]ccc5c34)CC2)C1,-9.471
N#C[C@H]1C[C@@H](O)CC[C@@H]1n1cc(C(N)=O)c(Nc2ccc(Cl)cc2)n1,-8.884
CC(C)(O)c1cccc(N2CCC(CC#N)(n3cc(C(N)=O)c(Nc4ccc(F)cc4)n3)CC2)n1,-8.87
COc1ccc2c(-c3cnc4[nH]cc(C(=O)N[C@H](C)C(=O)N5CC(C#N)C5)c4n3)nn(C)c2c1,-9.5
CN(c1ccc(C(=O)NC(CO)c2ccc(Cl)cc2)cc1F)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,-7.995
C=CC(=O)N1CCN(c2ccc(C(F)(F)F)c(C3=C(c4c[nH]c5ncccc45)C(=O)NC3=O)c2)CC1,-6.421
NC(=O)NCCNCC(F)(F)F,-4.633
CS(=O)(=O)c1cccc(-c2cccc3nc(Nc4ccc(N5CCOCC5)cc4)nn23)c1,-8.513
O=C(Nc1nc2cccc(-c3ccc(Cl)cc3)n2n1)C1CC1,-8.951
Cc1cccc(-c2cccc(Nc3nc4c(-c5cnc6[nH]ncc6c5)cccn4n3)c2)n1,-9.062
O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1Nc1cccc(OCCNc2cc(F)cc(F)c2)c1,-8.401
N#C[C@H]1C[C@H](N2CC3(CCC3)C2)CC[C@@H]1n1cc(C(N)=O)c(Nc2ccc([C@@H](O)C(F)(F)F)cc2)n1,-9.211
CC1(C)C2CCCC1(C)[C@@H]2Nc1nc2cc[nH]c(=O)c2c2cc(F)ccc12,-8.798
N#CCC(=O)N1CCC(F)(F)C12CCN(c1ncnc3[nH]ccc13)C2,-8.717
Nc1ccncc1,-5.122
CC(Oc1cc(-c2cccc(N3CCNCC3)c2)cnc1N)c1cc(F)ccc1Cl,-8.852
C[C@H](Nc1nc(Nc2cc(C3CC3)[nH]n2)c(F)cc1C#N)c1ccc(F)cc1,-7.826
c1ccc(CN2CCCC(c3nnn4cnc5[nH]ccc5c34)C2)cc1,-6.854
N#C/C=C/c1ccc(-c2nc3cnc4[nH]ccc4c3n2C2CCCCC2)o1,-9.102
